t_start;uax;uay;uaz;ax;ay;az;gx;gy;gz;temp_imu;p;h;trigger
211.742;0.05;-0.025;0.15;0.0498046875;-0.84814453125;0.541015625;0.0118563685637;-0.00813008130081;0.000846883468835;24.7673964171;96643.1652201;377.988412523;0
211.753;0.25;-0.7;0.65;0.05078125;-0.8388671875;0.5537109375;0.0125338753388;-0.00728319783198;0.0;24.7673964171;96643.1652201;377.988412523;0
211.76;0.25;-0.7;0.65;0.04296875;-0.84716796875;0.556640625;0.0106707317073;-0.00813008130081;0.000338753387534;24.7673964171;96643.1652201;377.988412523;0
211.769;0.25;-0.7;0.6;0.05712890625;-0.84716796875;0.5546875;0.00694444444444;-0.00762195121951;-0.000508130081301;24.7673964171;96643.1652201;377.988412523;0
211.778;0.25;-0.7;0.6;0.05712890625;-0.84326171875;0.55859375;0.00406504065041;-0.00694444444444;0.0;24.7673964171;96646.9999019;377.671385445;0
211.786;0.2;-0.85;0.65;0.0537109375;-0.83740234375;0.548828125;0.00237127371274;-0.00609756097561;0.00135501355014;24.7864053012;96652.4562834;377.220308254;0
211.794;0.2;-0.8;0.65;0.05712890625;-0.84716796875;0.54833984375;0.00287940379404;-0.00609756097561;0.00118563685637;24.7864053012;96652.4562834;377.220308254;0
211.803;0.15;-0.65;0.65;0.0625;-0.837890625;0.5439453125;0.00220189701897;-0.00694444444444;0.000846883468835;24.7864053012;96652.4562834;377.220308254;0
211.811;0.175;-0.675;0.6125;0.052734375;-0.83935546875;0.54541015625;0.000846883468835;-0.00474254742547;0.00338753387534;24.7864053012;96655.1406715;376.998400151;0
211.819;0.2;-0.7;0.6;0.0546875;-0.83837890625;0.54833984375;-0.000677506775068;-0.00491192411924;0.00423441734417;24.7927410964;96656.448105;376.890321852;0
211.828;0.2;-0.7;0.65;0.056640625;-0.84423828125;0.54736328125;-0.00169376693767;-0.00508130081301;0.00321815718157;24.7927410964;96656.448105;376.890321852;0
211.837;0.2;-0.7;0.65;0.046875;-0.83984375;0.55517578125;-0.0025406504065;-0.00457317073171;0.00271002710027;24.7927410964;96656.448105;376.890321852;0
211.845;0.25;-0.75;0.6;0.05615234375;-0.82568359375;0.56103515625;-0.00609756097561;-0.00457317073171;0.0030487804878;24.7927410964;96655.6811265;376.953723549;0
211.853;0.25;-0.75;0.6;0.06005859375;-0.84130859375;0.5498046875;-0.00711382113821;-0.00406504065041;0.0030487804878;24.8054119381;96659.0628134;376.674182753;0
211.861;0.25;-0.65;0.6;0.04541015625;-0.8427734375;0.5517578125;-0.00762195121951;-0.00423441734417;0.0015243902439;24.8054119381;96659.0628134;376.674182753;0
211.87;0.25;-0.65;0.6;0.0625;-0.837890625;0.55859375;-0.00948509485095;-0.00457317073171;0.00169376693767;24.8054119381;96659.0628134;376.674182753;0
211.878;0.15;-0.7;0.65;0.0595703125;-0.84033203125;0.5458984375;-0.00863821138211;-0.00457317073171;0.00169376693767;24.8054119381;96654.8443172;377.022898324;0
211.886;0.1875;-0.7375;0.6125;0.05029296875;-0.84228515625;0.541015625;-0.00694444444444;-0.00423441734417;0.0015243902439;24.8180817817;96658.2257194;376.743378649;0
211.894;0.2;-0.75;0.6;0.048828125;-0.84375;0.541015625;-0.00525067750678;-0.00474254742547;0.00237127371274;24.8180817817;96658.2257194;376.743378649;0
211.903;0.25;-0.7;0.6;0.0595703125;-0.837890625;0.55126953125;-0.00338753387534;-0.00525067750678;0.000846883468835;24.8180817817;96658.2257194;376.743378649;0
211.912;0.25;-0.7;0.6;0.05419921875;-0.84130859375;0.54833984375;-0.00355691056911;-0.00558943089431;0.00135501355014;24.8180817817;96650.9390307;377.345736458;0
211.92;0.25;-0.7;0.6;0.044921875;-0.837890625;0.546875;-0.00338753387534;-0.00525067750678;0.0010162601626;24.8180817817;96650.9390307;377.345736458;0
211.932;0.225;-0.675;0.6;0.05517578125;-0.84033203125;0.5478515625;-0.00220189701897;-0.00609756097561;-0.000508130081301;24.8180817817;96650.9390307;377.345736458;0
211.94;0.2;-0.65;0.6;0.04443359375;-0.8388671875;0.55078125;-0.00287940379404;-0.00694444444444;-0.000846883468835;24.8180817817;96650.9390307;377.345736458;0
211.948;0.2;-0.7;0.6;0.05419921875;-0.84326171875;0.55615234375;-0.00491192411924;-0.00677506775068;-0.000508130081301;24.8180817817;96660.9102901;376.521468699;0
