t_start;uax;uay;uaz;ax;ay;az;gx;gy;gz;temp_imu;p;h;trigger
82.855;0.0875;0.1375;1.075;0.0576171875;-0.07958984375;-1.0146484375;-0.00592818428184;-0.00525067750678;-0.000338753387534;20.148988038;94650.0953046;544.488840669;0
82.86;0.0625;0.125;1.0625;0.091796875;-0.09814453125;-1.0009765625;-0.00779132791328;-0.00440379403794;-0.000508130081301;20.148988038;94650.0953046;544.488840669;0
82.861;0.0375;0.1125;1.05;0.09130859375;-0.09814453125;-0.9951171875;-0.00762195121951;-0.00457317073171;-0.000677506775068;20.148988038;94650.0953046;544.488840669;0
82.862;0.0125;0.1;1.0375;0.0908203125;-0.0947265625;-0.99853515625;-0.00762195121951;-0.00508130081301;-0.000677506775068;20.148988038;94650.0953046;544.488840669;0
82.863;0.0;0.1;1.05;0.0908203125;-0.09765625;-0.99853515625;-0.00762195121951;-0.00542005420054;-0.000169376693767;20.148988038;94650.0953046;544.488840669;0
82.864;0.0;0.1;1.05;0.0947265625;-0.0966796875;-1.0068359375;-0.00762195121951;-0.00525067750678;-0.000169376693767;20.148988038;94650.0953046;544.488840669;0
82.865;0.0;0.1;1.05;0.0986328125;-0.095703125;-1.01318359375;-0.00745257452575;-0.00542005420054;-0.000338753387534;20.148988038;94650.0953046;544.488840669;0
82.866;0.0;0.1;1.05;0.09619140625;-0.1025390625;-1.01025390625;-0.00728319783198;-0.00542005420054;-0.000508130081301;20.148988038;94650.0953046;544.488840669;0
82.867;0.0;0.1;1.05;0.09619140625;-0.1005859375;-1.00830078125;-0.00762195121951;-0.00575880758808;-0.000169376693767;20.148988038;94650.0953046;544.488840669;0
82.868;0.0;0.1;1.05;0.09033203125;-0.09619140625;-1.00634765625;-0.00745257452575;-0.00592818428184;-0.000508130081301;20.148988038;94650.0953046;544.488840669;0
82.869;0.0;0.1;1.05;0.0888671875;-0.09033203125;-1.00341796875;-0.00745257452575;-0.00592818428184;-0.000677506775068;20.148988038;94650.0953046;544.488840669;0
82.87;0.0;0.1;1.05;0.09375;-0.09619140625;-1.00390625;-0.00728319783198;-0.00592818428184;-0.000508130081301;20.148988038;94650.0953046;544.488840669;0
82.871;0.0;0.1;1.05;0.0888671875;-0.09521484375;-1.001953125;-0.00745257452575;-0.00609756097561;-0.000508130081301;20.148988038;94650.0953046;544.488840669;0
82.872;0.0;0.1;1.05;0.09033203125;-0.09521484375;-1.00439453125;-0.00762195121951;-0.00609756097561;-0.000338753387534;20.148988038;94650.0953046;544.488840669;0
