t_start;uax;uay;uaz;ax;ay;az;gx;gy;gz;temp_imu;p;h;trigger
1253.121;0.0;-0.075;0.0375;-0.99658203125;-0.046875;-0.328125;-0.0221883468835;-0.0362466124661;-0.0188008130081;31.9164599927;95531.4427443;470.433109203;0
1253.125;0.0;-0.35;0.075;-0.9990234375;-0.04833984375;-0.3291015625;-0.0216802168022;-0.0215108401084;-0.0128726287263;31.9164599927;95531.4427443;470.433109203;0
1253.126;0.0;-0.625;0.1125;-0.9931640625;-0.0439453125;-0.326171875;-0.0213414634146;-0.0193089430894;-0.0115176151762;31.9164599927;95531.4427443;470.433109203;0
1253.127;0.0;-0.9;0.15;-0.9931640625;-0.0439453125;-0.326171875;-0.0204945799458;-0.0162601626016;-0.00948509485095;31.9164599927;95531.4427443;470.433109203;0
1253.128;0.0;-0.9;0.15;-0.9892578125;-0.04248046875;-0.32080078125;-0.020325203252;-0.0138888888889;-0.00813008130081;31.9164599927;95531.4427443;470.433109203;0
1253.129;0.0;-0.9;0.15;-0.97802734375;-0.04638671875;-0.318359375;-0.020325203252;-0.0113482384824;-0.00694444444444;31.9164599927;95531.4427443;470.433109203;0
1253.129;0.0;-0.9;0.15;-0.9775390625;-0.05029296875;-0.318359375;-0.0204945799458;-0.00897696476965;-0.00558943089431;31.9164599927;95531.4427443;470.433109203;0
1253.13;0.0;-0.9;0.15;-0.9775390625;-0.05029296875;-0.318359375;-0.0199864498645;-0.00660569105691;-0.00440379403794;31.9164599927;95531.4427443;470.433109203;0
1253.131;0.0;-0.9;0.15;-0.9951171875;-0.0556640625;-0.32177734375;-0.0188008130081;-0.00491192411924;-0.00287940379404;31.9164599927;95531.4427443;470.433109203;0
1253.132;0.0;-0.875;0.15;-0.9931640625;-0.048828125;-0.32568359375;-0.0177845528455;-0.00321815718157;-0.00135501355014;31.9164599927;95531.4427443;470.433109203;0
1253.132;0.0;-0.85;0.15;-0.98486328125;-0.0498046875;-0.3271484375;-0.017445799458;-0.0015243902439;-0.000169376693767;31.9164599927;95531.4427443;470.433109203;0
1253.133;0.0;-0.825;0.15;-0.98291015625;-0.05517578125;-0.318359375;-0.0169376693767;0.000338753387534;0.000677506775068;31.9164599927;95531.4427443;470.433109203;0
1253.134;0.0;-0.8;0.15;-0.98291015625;-0.05517578125;-0.318359375;-0.0162601626016;0.0020325203252;0.00186314363144;31.9164599927;95531.4427443;470.433109203;0
1253.135;0.0;-0.8;0.15;-0.98486328125;-0.05908203125;-0.3203125;-0.0157520325203;0.00389566395664;0.00338753387534;31.9164599927;95531.4427443;470.433109203;0
1253.135;0.0;-0.8;0.15;-0.9873046875;-0.06298828125;-0.31787109375;-0.0154132791328;0.00542005420054;0.00457317073171;31.9164599927;95531.4427443;470.433109203;0
1253.136;0.0;-0.8;0.15;-0.9814453125;-0.0693359375;-0.3232421875;-0.0149051490515;0.00677506775068;0.00575880758808;31.9164599927;95531.4427443;470.433109203;0
1253.137;0.0;-0.8;0.15;-0.9814453125;-0.0693359375;-0.3232421875;-0.0143970189702;0.00813008130081;0.00694444444444;31.9164599927;95531.4427443;470.433109203;0
1253.138;0.0;-0.8;0.15;-0.98828125;-0.07568359375;-0.3212890625;-0.0138888888889;0.00931571815718;0.00813008130081;31.9164599927;95531.4427443;470.433109203;0
1253.139;0.0;-0.8;0.15;-0.99658203125;-0.07568359375;-0.32666015625;-0.0133807588076;0.0105013550136;0.00914634146341;31.9164599927;95531.4427443;470.433109203;0
1253.139;0.0;-0.8;0.15;-0.99365234375;-0.07666015625;-0.326171875;-0.0133807588076;0.0116869918699;0.00982384823848;31.9164599927;95531.4427443;470.433109203;0
1253.14;0.0;-0.8;0.15;-0.984375;-0.08349609375;-0.32470703125;-0.0130420054201;0.0132113821138;0.0105013550136;31.9164599927;95531.4427443;470.433109203;0
1253.142;0.0;-0.8;0.15;-0.9755859375;-0.09326171875;-0.3134765625;-0.0127032520325;0.0172764227642;0.0127032520325;31.9164599927;95531.4427443;470.433109203;0
1253.143;0.0;-0.8;0.15;-0.9755859375;-0.09326171875;-0.3134765625;-0.0133807588076;0.0191395663957;0.0138888888889;31.9164599927;95531.4427443;470.433109203;0
1253.144;0.0;-0.8;0.15;-0.97607421875;-0.0986328125;-0.31591796875;-0.0135501355014;0.0198170731707;0.014566395664;31.9164599927;95531.4427443;470.433109203;0
1253.145;0.0;-0.8;0.15;-0.9716796875;-0.09912109375;-0.30859375;-0.0133807588076;0.020325203252;0.0147357723577;31.9164599927;95531.4427443;470.433109203;0
1253.145;0.0;-0.8;0.15;-0.97509765625;-0.10400390625;-0.29638671875;-0.0132113821138;0.0206639566396;0.0149051490515;31.9164599927;95531.4427443;470.433109203;0
1253.146;0.0;-0.8;0.15;-0.97509765625;-0.10400390625;-0.29638671875;-0.0135501355014;0.0210027100271;0.0150745257453;31.9164599927;95531.4427443;470.433109203;0
1253.147;0.0;-0.8;0.15;-0.9736328125;-0.1103515625;-0.29443359375;-0.0133807588076;0.0213414634146;0.0155826558266;31.9164599927;95531.4427443;470.433109203;0
1253.148;0.1875;-0.8125;0.15;-0.966796875;-0.11474609375;-0.287109375;-0.0127032520325;0.0213414634146;0.0159214092141;31.9164599927;95531.4427443;470.433109203;0
1253.148;0.175;-0.825;0.15;-0.9658203125;-0.11669921875;-0.2841796875;-0.0127032520325;0.0210027100271;0.0155826558266;31.9164599927;95531.4427443;470.433109203;0
1253.149;0.1625;-0.8375;0.15;-0.95947265625;-0.123046875;-0.28173828125;-0.0127032520325;0.0201558265583;0.0154132791328;31.9164599927;95531.4427443;470.433109203;0
1253.15;0.15;-0.85;0.15;-0.95947265625;-0.123046875;-0.28173828125;-0.012364498645;0.0193089430894;0.0154132791328;31.9164599927;95531.4427443;470.433109203;0
1253.151;0.15;-0.85;0.15;-0.95751953125;-0.12109375;-0.267578125;-0.0116869918699;0.0167682926829;0.0138888888889;31.9164599927;95578.1548998;466.527181566;0
1253.152;0.15;-0.85;0.15;-0.96240234375;-0.12158203125;-0.26171875;-0.0116869918699;0.0142276422764;0.0127032520325;31.9164599927;95578.1548998;466.527181566;0
1253.153;0.15;-0.85;0.15;-0.96044921875;-0.12939453125;-0.25732421875;-0.0116869918699;0.0118563685637;0.0116869918699;31.9164599927;95578.1548998;466.527181566;0
1253.154;0.15;-0.85;0.15;-0.95703125;-0.13232421875;-0.2626953125;-0.0116869918699;0.00965447154472;0.0108401084011;31.9164599927;95578.1548998;466.527181566;0
1253.154;0.15;-0.85;0.15;-0.95849609375;-0.13720703125;-0.2568359375;-0.0115176151762;0.00711382113821;0.00982384823848;31.9164599927;95578.1548998;466.527181566;0
1253.155;0.15;-0.85;0.15;-0.95849609375;-0.13720703125;-0.2568359375;-0.0115176151762;0.00457317073171;0.00863821138211;31.9164599927;95578.1548998;466.527181566;0
1253.156;0.15;-0.85;0.15;-0.9658203125;-0.134765625;-0.25537109375;-0.0113482384824;0.00186314363144;0.00779132791328;31.9164599927;95578.1548998;466.527181566;0
1253.157;0.15;-0.85;0.15;-0.96728515625;-0.14013671875;-0.255859375;-0.0111788617886;-0.000846883468835;0.00643631436314;31.9164599927;95578.1548998;466.527181566;0
1253.157;0.15;-0.85;0.15;-0.96630859375;-0.13916015625;-0.24658203125;-0.0111788617886;-0.00372628726287;0.00440379403794;31.7581404274;95536.2816897;470.028402716;0
1253.159;0.15;-0.85;0.15;-0.970703125;-0.134765625;-0.234375;-0.0111788617886;-0.00931571815718;0.000677506775068;31.7581404274;95536.2816897;470.028402716;0
1253.16;0.15;-0.85;0.15;-0.96875;-0.1396484375;-0.23779296875;-0.0115176151762;-0.0116869918699;-0.000846883468835;31.7581404274;95536.2816897;470.028402716;0
1253.16;0.15;-0.85;0.15;-0.97412109375;-0.13916015625;-0.24072265625;-0.0113482384824;-0.0143970189702;-0.0020325203252;31.7581404274;95536.2816897;470.028402716;0
1253.161;0.15;-0.85;0.15;-0.97412109375;-0.13916015625;-0.24072265625;-0.0113482384824;-0.0167682926829;-0.00338753387534;31.7581404274;95536.2816897;470.028402716;0
1253.162;0.175;-0.825;0.1625;-0.978515625;-0.13623046875;-0.24169921875;-0.0113482384824;-0.0182926829268;-0.00457317073171;31.7581404274;95536.2816897;470.028402716;0
1253.163;0.0;-0.8;0.175;-0.98583984375;-0.1328125;-0.2373046875;-0.0116869918699;-0.0198170731707;-0.00508130081301;31.7581404274;95536.2816897;470.028402716;0
1253.163;0.025;-0.775;0.1875;-0.990234375;-0.13330078125;-0.24853515625;-0.012364498645;-0.0220189701897;-0.00592818428184;31.7581404274;95536.2816897;470.028402716;0
1253.164;0.05;-0.75;0.2;-0.990234375;-0.13330078125;-0.24853515625;-0.0128726287263;-0.0237127371274;-0.00694444444444;31.7581404274;95536.2816897;470.028402716;0
1253.165;0.05;-0.75;0.2;-0.99658203125;-0.1328125;-0.2470703125;-0.0130420054201;-0.02472899729;-0.00829945799458;31.7581404274;95536.2816897;470.028402716;0
1253.166;0.05;-0.75;0.2;-1.0029296875;-0.12060546875;-0.25048828125;-0.0127032520325;-0.0250677506775;-0.00931571815718;31.7581404274;95536.2816897;470.028402716;0
1253.166;0.05;-0.75;0.2;-1.0087890625;-0.1220703125;-0.2666015625;-0.0118563685637;-0.0252371273713;-0.00982384823848;31.7581404274;95536.2816897;470.028402716;0
1253.167;0.05;-0.75;0.2;-1.01611328125;-0.12060546875;-0.27294921875;-0.0110094850949;-0.0255758807588;-0.010162601626;31.7581404274;95536.2816897;470.028402716;0
1253.168;0.05;-0.75;0.2;-1.01611328125;-0.12060546875;-0.27294921875;-0.0105013550136;-0.0255758807588;-0.0110094850949;31.7581404274;95536.2816897;470.028402716;0
1253.169;0.05;-0.75;0.2;-1.01220703125;-0.11767578125;-0.283203125;-0.010162601626;-0.0255758807588;-0.0115176151762;31.7581404274;95536.2816897;470.028402716;0
1253.17;0.05;-0.75;0.2;-1.009765625;-0.10791015625;-0.287109375;-0.00965447154472;-0.0255758807588;-0.0116869918699;31.7581404274;95536.2816897;470.028402716;0
1253.17;0.05;-0.75;0.2;-1.01416015625;-0.1064453125;-0.28759765625;-0.00914634146341;-0.0252371273713;-0.0113482384824;31.7581404274;95536.2816897;470.028402716;0
1253.171;0.05;-0.75;0.2;-1.01416015625;-0.1064453125;-0.28759765625;-0.00829945799458;-0.0245596205962;-0.0108401084011;31.7581404274;95536.2816897;470.028402716;0
1253.172;0.05;-0.75;0.2;-1.01513671875;-0.09521484375;-0.2890625;-0.00796070460705;-0.0238821138211;-0.0108401084011;31.7581404274;95536.2816897;470.028402716;0
1253.173;0.05;-0.75;0.2;-1.00927734375;-0.09375;-0.2900390625;-0.00745257452575;-0.0218495934959;-0.0106707317073;31.7581404274;95536.2816897;470.028402716;0
1253.173;0.05;-0.75;0.2;-1.005859375;-0.0859375;-0.29150390625;-0.00711382113821;-0.0201558265583;-0.010162601626;31.7581404274;95536.2816897;470.028402716;0
1253.174;0.05;-0.75;0.2;-0.99609375;-0.087890625;-0.29736328125;-0.00694444444444;-0.0191395663957;-0.00931571815718;31.7581404274;95536.2816897;470.028402716;0
1253.176;0.05;-0.75;0.2;-0.9853515625;-0.08203125;-0.30078125;-0.00558943089431;-0.0147357723577;-0.00711382113821;31.7581404274;95536.2816897;470.028402716;0
1253.177;0.025;-0.775;0.175;-0.98095703125;-0.07080078125;-0.2900390625;-0.00558943089431;-0.0128726287263;-0.00609756097561;31.7581404274;95536.2816897;470.028402716;0
1253.178;0.0;-0.8;0.15;-0.98583984375;-0.06982421875;-0.28955078125;-0.00575880758808;-0.0111788617886;-0.00525067750678;31.7581404274;95536.2816897;470.028402716;0
1253.178;0.175;-0.825;0.125;-0.974609375;-0.06103515625;-0.2939453125;-0.00575880758808;-0.00999322493225;-0.00457317073171;31.7581404274;95536.2816897;470.028402716;0
